id_categoria|ds_categoria|perc_parceiro
1|Categoria - 001|2.0
2|Categoria - 002|2.0
3|Categoria - 003|2.0
4|Categoria - 004|2.0
5|Categoria - 005|5.0
6|Categoria - 006|1.0
7|Categoria - 007|5.0
8|Categoria - 008|3.0
9|Categoria - 009|5.0
10|Categoria - 010|6.0
11|Categoria - 011|6.0
12|Categoria - 012|4.0
13|Categoria - 013|3.0
14|Categoria - 014|1.0
15|Categoria - 015|4.0
16|Categoria - 016|3.0
17|Categoria - 017|5.0
18|Categoria - 018|1.0
19|Categoria - 019|2.0
20|Categoria - 020|5.0
21|Categoria - 021|5.0
22|Categoria - 022|2.0
23|Categoria - 023|5.0
24|Categoria - 024|5.0
25|Categoria - 025|3.0
26|Categoria - 026|3.0
27|Categoria - 027|2.0
28|Categoria - 028|5.0
29|Categoria - 029|6.0
30|Categoria - 030|1.0
31|Categoria - 031|3.0
32|Categoria - 032|4.0
33|Categoria - 033|3.0
34|Categoria - 034|6.0
35|Categoria - 035|6.0
36|Categoria - 036|5.0
37|Categoria - 037|5.0
38|Categoria - 038|2.0
39|Categoria - 039|1.0
40|Categoria - 040|4.0
41|Categoria - 041|4.0
42|Categoria - 042|1.0
43|Categoria - 043|5.0
